NatDex,Pokemon,Votes,Percentage
474,Porygon-Z,29772,0.56377822
478,Froslass,23036,0.43622178
551,Sandile,34390,0.66719696
265,Wurmple,17154,0.33280304
302,Sableye,29550,0.57435519
428,Mega Lopunny,21899,0.42564481
842,Appletun,27152,0.54955775
-1,Missingno,22255,0.45044225
79,Slowpoke,36420,0.75352244
556,Maractus,11913,0.24647756
195,Quagsire,32729,0.66959226
300,Skitty,16150,0.33040774
37,Alolan Vulpix,37563,0.78189463
?,Klawf,10478,0.21810537
12,Butterfree,11978,0.24162346
143,Snorlax,37595,0.75837654
59,Arcanine,16808,0.33470070
94,Gengar,33410,0.66529930
212,Scizor,25271,0.51807130
571,Zoroark,23508,0.48192870
802,Marshadow,19679,0.42538152
494,Victini,26583,0.57461848
359,Absol,31377,0.63238406
823,Corviknight,18240,0.36761594
453,Croagunk,26843,0.56516338
423,Gastrodon,20653,0.43483662
706,Goodra,16755,0.32781593
1,Bulbasaur,34356,0.67218407
443,Gible,31203,0.61317010
129,Magikarp,19685,0.38682990
155,Cyndaquil,34718,0.67930657
306,Aggron,16390,0.32069343
194,Wooper,26536,0.53014744
405,Luxray,23518,0.46985256
149,Dragonite,33512,0.64943219
132,Ditto,18090,0.35056781
330,Flygon,29942,0.59905566
389,Torterra,20040,0.40094434
363,Spheal,41742,0.88854357
339,Barboach,5236,0.11145643
882,Dracovish,18816,0.38631791
253,Grovyle,29890,0.61368209
147,Dratini,29941,0.61907617
872,Snom,18423,0.38092383
796,Xurkitree,16353,0.34660139
?,Lechonk,30828,0.65339861
196,Espeon,25733,0.50053490
778,Mimikyu,25678,0.49946510
570,Zorua,17557,0.35032025
133,Eevee,32560,0.64967975
875,Eiscue,11733,0.25966582
303,Mawile,33452,0.74033418
380,Latias,18902,0.39723436
131,Lapras,28682,0.60276564
181,Ampharos,26897,0.54772232
26,Raichu,22210,0.45227768
258,Mudkip,29870,0.59057298
134,Vaporeon,20708,0.40942702
700,Sylveon,21000,0.42755054
151,Mew,28117,0.57244946
543,Venipede,11267,0.23626984
447,Riolu,36420,0.76373016
501,Oshawott,21459,0.43591931
722,Rowlet,27768,0.56408069
,,,
474,Porygon-Z,23703,0.60991174
551,Sandile,15160,0.39008826
302,Sableye,23481,0.63279166
842,Appletun,13626,0.36720834
79,Slowpoke,16905,0.48695126
195,Quagsire,17811,0.51304874
37,Alolan Vulpix,17619,0.49495744
143,Snorlax,17978,0.50504256
94,Gengar,26089,0.69639378
212,Scizor,11374,0.30360622
494,Victini,13768,0.38694809
359,Absol,21813,0.61305191
453,Croagunk,9673,0.27062642
1,Bulbasaur,26070,0.72937358
443,Gible,14948,0.41727382
155,Cyndaquil,20875,0.58272618
194,Wooper,23662,0.56201606
149,Dragonite,18440,0.43798394
330,Flygon,20980,0.55373733
363,Spheal,16908,0.44626267
253,Grovyle,21245,0.50836304
147,Dratini,20546,0.49163696
?,Lechonk,13125,0.33743830
196,Espeon,25771,0.66256170
133,Eevee,28471,0.73515286
303,Mawile,10257,0.26484714
131,Lapras,20171,0.58173271
181,Ampharos,14503,0.41826729
258,Mudkip,22812,0.56206574
151,Mew,17774,0.43793426
447,Riolu,18866,0.48436457
722,Rowlet,20084,0.51563543
,,,
474,Porygon-Z,27108,0.54842299
302,Sableye,22321,0.45157701
195,Quagsire,20010,0.39841510
143,Snorlax,30214,0.60158490
94,Gengar,34420,0.68900633
359,Absol,15536,0.31099367
1,Bulbasaur,26790,0.51567824
155,Cyndaquil,25161,0.48432176
194,Wooper,27794,0.51839003
330,Flygon,25822,0.48160997
253,Grovyle,28646,0.47198972
196,Espeon,32046,0.52801028
133,Eevee,30879,0.53189217
131,Lapras,27176,0.46810783
258,Mudkip,35201,0.61485389
722,Rowlet,22050,0.38514611
,,,
474,Porygon-Z,19055,0.34816371
143,Snorlax,35675,0.65183629
94,Gengar,36166,0.61556006
1,Bulbasaur,22587,0.38443994
194,Wooper,36991,0.52463550
196,Espeon,33517,0.47536450
133,Eevee,26070,0.44567912
258,Mudkip,32425,0.55432088
,,,
143,Snorlax,18386,0.36338123
94,Gengar,32211,0.63661877
194,Wooper,23576,0.41239854
258,Mudkip,33592,0.58760146
,,,
258,Mudkip,51127,0.48337903
94,Gengar,54643,0.51662097
143,Snorlax,41438,0.50365239
194,Wooper,40837,0.49634761
